
2025/04/22 (17:57:01) | ===> btop++ v.1.4.0
2025/04/22 (17:57:01) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/22 (17:59:15) | INFO: Logger set to INFO

2025/04/22 (22:22:18) | ===> btop++ v.1.4.0
2025/04/22 (22:22:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/22 (22:24:26) | ===> btop++ v.1.4.0
2025/04/22 (22:24:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (20:48:47) | ===> btop++ v.1.4.0
2025/04/23 (20:48:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (20:27:12) | ===> btop++ v.1.4.0
2025/04/24 (20:27:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (23:48:16) | ===> btop++ v.1.4.0
2025/04/24 (23:48:16) | WARNING: Intel GPU: Failed to initialize PMU
